entity_id,entity_name
1143172578,diana adama
3145096588,jarred evans
1114115068,bethan webber
3669324773,yvonne griffiths
1962361668,kevin ouyang
3254641121,raina macintyre
2256464832,bob saynor
3991615386,catriona greenwood
2380084628,steve walsh
3199289592,tedros adhanom ghebreyesus
1471274854,mark rumble
2099344537,donald trump
1573690675,boris johnson
3626225670,martha mcsally
1310301267,xi jinping
465959099,john mackenzie
188736126,arnold hopland
3124548036,jeannie hopland
4152417416,kevin hopland
1978905122,walter russell mead
3055840859,geng shuang
2677208529,zeng lingkong
3028662752,xiao qiang
286162157,bob cooper
1555081186,katherine arden
3233044757,scott rivkees
4213021447,jose javier rodriguez
177617474,tony xu
3401379334,jay ritter
347081545,phillip williamson
3808638230,clare farrell
293923066,mike pence
4060563064,alex azar
582997773,anthony fauci
3334176397,john garamendi
3911526891,rich mccormick
1079774693,stephen m hahn
2796491628,kimberly guilfoyle
2863976193,robert o brien
2755738313,don jr
571325757,fabio wajngarten
2354274422,ivanka trump
578950823,lara trump
3778194836,jair bolsonaro
1824413672,jared kushner
3262823712,eric trump
2669381224,peter dutton
3183820197,steven t mnuchin
353885293,kellyanne conway
3304146263,william barr
1279202351,seema verma
4063668002,brett p giroir
3965079860,deborah l birx
3138278937,andrew m cuomo
2683344912,jon karl
239897052,jerome m adams
1469836265,bill hemmer
787004383,elaine chao
3135712061,kevin brady
3558879761,greg walden
3798891877,mitch mcconnell
3359449927,kevin mccarthy
1827450637,larry kudlow
3633339311,stephen yale loehr
114263594,matt mccarthy
1147644266,scott gottlieb
3084643079,jeremy samuel faust
1197759479,tom bossert
364651867,martin makary
230746344,margaret harris
3396039178,justin trudeau
2120132946,bill de blasio
1120699085,charles barkley
2439032924,david r boulware
1756955705,rachel maddow
928334431,linda quick
3243767712,jack keane
3860076595,daniel brooks
3354063604,liz cheney
964643599,robert chesney
2962639040,stephen curry
1783817836,barack obama
43674942,sanjay gupta
2041521304,nicole mccullough
2809254671,stuart ditchek
1236174504,robin armstrong
563927195,dan patrick
3784252835,bryan hughes
85896933,nancy messonnier
2609827790,gavin newsom
924554625,debbie wasserman schultz
2582331810,mark zuckerberg
3319920092,peter alexander
627704754,george w bush
4097507969,mike leavitt
2927801783,julie gerberding
1343040011,tom ridge
3423143321,lindsey o graham
2181679024,peter navarro
1424447736,joe biden
