orig_index,disambiguated_entity,disambiguated_entity_id,sex_at_birth,comment/reference,pronoun_denoting_gender,comment/reference.1,race_ethnicity,comment/reference.2,public_health_researcher,practitioner/clinician/physician,non_public_health_researcher,politician/govt service/policymaker,industry_expert,celebrity,journalist,comment/reference.3
56,adil el tayar,1939715898,Male,,He,,Middle Eastern,https://www.bbc.com/news/uk-england-london-52064450,No,Yes,No,No,No,No,No,"Physician, deceased due to COVID-19. Should be removed from dataset?  https://www.bmj.com/content/369/bmj.m1803"
57,adisu kebede,2183159460,Male,,He,https://medicalxpress.com/news/2020-04-ethiopia-deaths-coronavirus.html,Black/African,https://www.linkedin.com/in/adisu-kebede-38418490/,Yes,No,No,Yes,No,No,No,"https://www.researchgate.net/profile/Adisu_Kebede , ""Addisu Kebede, A/Director of EPHI’s National Laboratory Capacity Building Directorate"" : https://www.ephi.gov.et/index.php/news-information/737-the-4th-national-laboratory-forum-met-in-semera"
58,adit ginde,2013657323,Male,,He,https://www.uchealth.org/today/cu-study-vitamin-d-indeed-immune-booster/,South Asian,https://som.ucdenver.edu/Profiles/Faculty/Profile/3529,Yes,Yes,No,No,No,No,No,https://pubmed.ncbi.nlm.nih.gov/?term=Munkarah%20A&sort=date&pos=1
59,adnan munkarah,2921235134,Male,,He,,Middle Eastern,https://www.henryford.com/about/leadership/munkarah,Yes,Yes,No,No,No,No,No,
61,adrian bangerter,1530348847,Male,,He,http://theenemyreader.org/author/adrian-bangerter/,White/European,https://www.unine.ch/ipto/home/collaborateurstrices/adrian-bangerter.html,No,No,Yes,No,No,No,No,https://scholar.google.com/citations?hl=en&user=YmgLQcIAAAAJ&view_op=list_works&sortby=pubdate
62,adrian hyzler,914193107,Male,,He,,White/European,https://www.airmedandrescue.com/writers/dr-adrian-hyzler,No,Yes,No,No,Yes,No,No,CMO Healix: https://healix.com/sharing-knowledge-and-news/covid-19-advice/
63,adriano decarli,3756797925,Male,,He,https://www.reuters.com/article/us-health-coronavirus-italy-timing-idUSKBN21D2IG,White/European,http://unimi.academia.edu/AdrianoDecarli/CurriculumVitae,Yes,No,No,No,No,No,No,https://scholar.google.com/citations?user=sJHb1OAAAAAJ&hl=en
67,afruz eslami,1646578449,Female,,She,,Middle Eastern,https://abcnews.go.com/International/wireStory/hard-line-shiites-storm-iran-shrines-closed-coronavirus-69636295,No,Yes,No,No,No,No,Yes,https://www.aljazeera.com/news/2020/3/17/coronavirus-pandemic-could-kill-millions-in-iran
68,afshon ostovar,4134382570,Male,,He,https://twitter.com/AOstovar,Middle Eastern,https://nps.edu/web/nsa/-/afshon-ostovar-ph-d-,No,No,Yes,No,No,No,No,
69,agnes buzyn,3580938791,Female,https://twitter.com/agnesbuzyn?lang=en,She,https://www.jpost.com/International/Stepping-into-Simone-Veils-shoes-Agnes-Buzyn-504886,White/European,https://en.wikipedia.org/wiki/Agnès_Buzyn,Yes,Yes,No,Yes,No,No,No,https://www.researchgate.net/scientific-contributions/Agnes-Buzyn-2162798062
71,ahmed kazmi,1583771642,Male,https://www.bmj.com/content/355/bmj.i5298,He,https://twitter.com/drahmedkazmi?lang=en,South Asian,https://www.indianlink.com.au/carry-on-doctor/,No,Yes,No,No,No,No,No,https://www.doctorahmed.net/about/
72,ahmed rahman,3791039098,Male,,He,https://www2.lehigh.edu/news/covid-19-the-impact-on-the-economy,South Asian,https://forebears.io/surnames/rahman,No,No,Yes,No,No,No,No,https://sites.google.com/lehigh.edu/rahman/home
74,ai fen,1774466715,Female,,She,https://www.theguardian.com/world/2020/mar/11/coronavirus-wuhan-doctor-ai-fen-speaks-out-against-authorities,East Asian,https://en.wikipedia.org/wiki/Ai_Fen,No,Yes,No,No,No,No,No,
75,aileen marty,3282268929,Female,,She,,White/European,https://medicine.fiu.edu/about/faculty-and-staff/people/amarty.html,Yes,Yes,No,No,No,No,No,https://www.researchgate.net/profile/Aileen_Marty
76,aimee moulin,3314682457,Female,,She,https://health.usnews.com/doctors/aimee-moulin-645651,White/European,https://health.ucdavis.edu/emergency/ourteam/faculty/moulin.html,No,Yes,No,No,No,No,No,
77,aimee sisson,728381099,Female,,She,,White/European,https://www.rosevilletoday.com/news/roseville/aimee-sisson-hired-as-yolo-county-public-health-officer/,No,Yes,No,Yes,No,No,No,https://www.doximity.com/pub/aimee-sisson-md
78,ainsley earhardt,2242365873,Female,,She,https://twitter.com/ainsleyearhardt,White/European,https://en.wikipedia.org/wiki/Ainsley_Earhardt,No,No,No,No,No,No,Yes,https://www.businessinsider.com/ainsley-earhardt-rising-star-fox-friends-who-is-profile-2017-9
79,ajay kirtane,1228439203,Male,,He,https://twitter.com/ajaykirtane,South Asian,https://doctors.nyp.org/ajay-kirtane-md/161-ft-washington-ave,Yes,Yes,No,No,No,No,No,https://www.columbiacardiology.org/profile/ajay-j-kirtane-md#research
80,ajay kumar bharti,2805969500,Male,https://twitter.com/ani/status/1347450344343695362,He,https://www.theguardian.com/world/2020/mar/25/overcome-by-anxiety-india-in-lockdown-many-can-ill-afford,South Asian,https://twitter.com/ani/status/1347450344343695362,No,Yes,No,No,No,No,No,https://www.theguardian.com/world/2020/mar/25/overcome-by-anxiety-india-in-lockdown-many-can-ill-afford
81,aki hiro sato,3895509670,Male,,He,https://www.tampabay.com/news/health/2020/03/30/tokyos-coronavirus-infection-spike-after-olympic-delay-sparks-questions/,East Asian,https://researchmap.jp/read0065640?lang=en,No,No,Yes,No,No,No,No,https://scholar.google.com/citations?user=p6X4GYYAAAAJ&hl=en
82,akiko iwasaki,1543490278,Female,,She,https://medicine.yale.edu/lab/iwasaki/profile/akiko_iwasaki/,East Asian,https://en.wikipedia.org/wiki/Akiko_Iwasaki,Yes,No,No,No,No,No,No,
83,al franken,2159166123,Male,,He,,White/European,https://en.wikipedia.org/wiki/Al_Franken,No,No,No,Yes,No,No,No,
84,al gore,1444771038,Male,,He,,White/European,https://en.wikipedia.org/wiki/Al_Gore,No,No,No,Yes,No,No,No,
85,al holland,3271094831,Male,https://history.nasa.gov/SP-4225/people/people-teams-h-k.htm,He,https://history.nasa.gov/SP-4225/people/people-teams-h-k.htm,White/European,https://history.nasa.gov/SP-4225/people/people-teams-h-k.htm,Yes,No,No,Yes,No,No,No,"https://psycnet.apa.org/record/2000-15887-001, https://history.nasa.gov/SP-4225/people/people-teams-h-k.htm"
87,alaa swilam dubai,1034292013,Female,https://www.facebook.com/madluna.swilam,She,https://www.reuters.com/journalists/alaa-swilam,Middle Eastern,https://www.linkedin.com/in/alaa-swilam-2742b61a7/,No,No,No,No,No,No,Yes,I am not sure the FB links I have found are the right person -- but she lists herself as working at Reuters which lines up
88,alain gauthier,2244368943,Male,,He,https://www.cbc.ca/news/health/ventilator-shortage-1.5503541,White/European,https://doctors.cpso.on.ca/DoctorDetails/Gauthier-Alain/0150312-72823,No,Yes,No,No,No,No,No,
89,alan berger,2550601537,Male,,He,https://nyulangone.org/doctors/1922187830/alan-w-berger,White/European,,No,Yes,No,No,No,No,No,
90,alan blinder,3516750344,Male,,He,https://en.wikipedia.org/wiki/Alan_Blinder,White/European,,No,No,No,Yes,Yes,No,No,
93,alan dershowitz,2425352896,Male,,He,https://en.wikipedia.org/wiki/Alan_Dershowitz,White/European,,No,No,No,No,Yes,No,No,
94,alan erera,1692060944,Male,,He,https://www2.isye.gatech.edu/people/faculty/Alan_Erera/,White/European,https://twitter.com/alerera?lang=en,No,No,Yes,No,No,No,No,
96,alan jones,1412394461,Male,,He,https://en.wikipedia.org/wiki/Alan_Jones_(radio_broadcaster),White/European,https://www.theguardian.com/media/2021/jan/30/alan-jones-forced-to-correct-attack-on-daniel-andrews-that-misrepresented-covid-research,No,No,No,No,No,No,Yes,
97,alan kraut,99551127,Male,,He,https://www.american.edu/cas/faculty/akraut.cfm,White/European,,No,No,Yes,No,No,No,No,
98,alan lerner,1858048398,Male,https://www.uhhospitals.org/doctors/Lerner-Alan-1093733511,He,https://www.uhhospitals.org/doctors/Lerner-Alan-1093733511,White/European,https://www.uhhospitals.org/doctors/Lerner-Alan-1093733511,Yes,Yes,No,No,No,No,No,"https://jamanetwork.com/journals/jama/article-abstract/2723256,https://www.uhhospitals.org/doctors/Lerner-Alan-1093733511"
99,alan melnick,2091593229,Male,,He,https://clark.wa.gov/public-health/health-department-leadership,White/European,,No,Yes,No,Yes,No,No,No,
100,alan rowan,4073020378,Male,,He,https://news.fsu.edu/news/2020/03/23/fsu-public-health-professor-students-assist-with-statewide-tracking-effort/,White/European,https://www.latimes.com/california/story/2020-02-18/sars-coronavirus-china-epidemic,Yes,No,No,No,No,No,No,"CV:
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwi5s6ra35LvAhVaEFkFHTAMCYwQFjAAegQIARAD&url=http%3A%2F%2Fwww.fsu.edu%2Fcvdb%2FAROWAN.rtf&usg=AOvVaw1-OZVDPats06p_nQLgB6uJ"
101,alan v deardorff,1193530749,Male,,He,,White/European,,No,No,Yes,No,Yes,No,No,"It may be appropriate to also say that this academic researcher is involved in public industry research, in the sense that he is advising councils / organizations on trade-related questions. That is his professional website: https://fordschool.umich.edu/faculty/alan-deardorff"
102,alan wu,2151606329,Male,,He,,East Asian,"Could not find it explicitly, but it seems like Professor Wu has East Asian roots.",No,Yes,Yes,No,No,No,No,"This is the profile of Professor Alan Wu at UCSF: https://profiles.ucsf.edu/alan.wu#toc-id2 Given that Professor Wu is both a clinician and toxicology / clinical pharmacogenomics, I would qualify him as both a clinician and a non public health researcher."
104,albert chang,320580816,Male,,He,,East Asian,,No,Yes,Yes,No,No,No,No,This is the profile of Dr. Albert Chang. He is a pediatrician and preventive medicine doctor: https://www.linkedin.com/in/albert-chang-md-mph-530751/
105,albert ko,867242173,Male,,He,,East Asian,,Yes,No,No,No,No,No,No,"This is the profile of Dr. Albert Ko, chairing epidemiology and microbial diseases at Yale University: https://medicine.yale.edu/profile/albert_ko/"
106,albert rizzo,268729565,Male,,He,,White/European,,No,Yes,Yes,No,No,No,No,This is the profile of Dr. Albert 'Skip' Rizzo: https://www.ifm.org/about/profile/skip-rizzo/ He is a clinical psychologist and neuropsychologist. His research is on virtual reality systems.
107,albert williams,4115775934,Male,,He,,Latinx,,No,No,Yes,Yes,Yes,No,No,"This is the profile of Dr. Albert Williams: https://www.business.nova.edu/about/faculty-bio.html?albewill He is now teaching finance and economics at a business school, but he used to serve at the government of Belize, as an agriculture expert. That is why I decided to add two categories: public industry expert and government service."
108,alberto bisin,1848974951,Male,,He,,White/European,Italian origin: https://s18798.pcdn.co/albertobisin/wp-content/uploads/sites/16384/2020/03/CVMarch2020.pdf,No,No,Yes,No,No,No,No,Dr. Alberto Bisin is an economist at NYU: https://wp.nyu.edu/albertobisin/
109,alberto dicochea,1814412918,Male,,He,,Latinx,,No,No,No,Yes,No,No,No,"Alberto Dicochea is the Health Director of the City of Nogales, in Mexico: https://www.nepm.org/post/cities-mexico-use-sanitation-tunnels-despite-warnings-health-professionals#stream/0"
110,alberto montaner,4111465800,Male,,He,,Latinx,Cuban roots: https://en.wikipedia.org/wiki/Carlos_Alberto_Montaner,No,No,No,No,No,No,Yes,"Alberto Montaner is a famous author and novelist. He wrote thousands of articles, so I am also adding him as a journalist."
111,aldo munoz armenta,3991054616,Male,,He,,Latinx,Mexican roots: https://data.bnf.fr/fr/15126510/aldo_munoz_armenta/,No,No,Yes,No,No,No,No,Dr. Aldo Munoz Armenta is a researcher in social sciences.
112,alec watson,3071153411,Male,,He,,Unknown,I would assume Alec Watson is an independent caregiver mentioned in the news (but his race/ethnicity is not reported): http://www.milwaukeeindependent.com/syndicated/disabled-wisconsin-residents-see-lives-upended-coronavirus-driven-shortage-caregivers/,No,Yes,No,No,No,No,No,Alec Watson seems to be an independent caregiver.
113,alejandro macias,2694669070,Male,,He,,Latinx,Mexican roots: https://www.eleconomista.com.mx/autor/alejandro.macias,No,Yes,No,No,No,No,No,Dr. Alejandro Macias seems to be a surgeon based in Mexico.
114,alessandro colombo,4203863423,Male,,He,,White/European,Italian professor at Politecnico di Milano: http://home.deib.polimi.it/acolombo/index.shtml,No,No,Yes,No,No,No,No,Dr. Alessandro Colombo is a control theory expert: http://home.deib.polimi.it/acolombo/index.shtml
115,alessandro grimaldi,4033408743,Male,,He,,White/European,Italian doctor: https://lite.cnn.com/en/article/h_990538fc0629e655b8d0bf9a0f7f099f,Yes,Yes,No,No,No,No,No,"Dr. Alessandro Grimaldi is the director of infectious diseases at the Salvatore Hospital in L'Aquila, Italy."
116,alessandro vespignani,2966813251,Male,,He,,White/European,,Yes,No,No,No,No,No,No,Dr. Alessandro Vespignani is a physicist and network science expert.
118,alex appolonia,3199001060,Female,,She,https://twitter.com/alexappolonia?lang=en,White/European,,No,No,No,No,No,No,Yes,"Alexandra Appolonia is a video producer at Business Insider. I discussed with Syed to confirm that adding the ""journalist"" label would make sense."
119,alex azar,4060563064,Male,,He,,White/European,,No,No,No,Yes,Yes,No,No,"In addition to serving as a US Secretary of Health, I would argue that Alex Azar is a specialist of the pharmaceutical industry (as he used to work as a lobbyist in that sector)."
120,alex billioux,1265702889,Male,,He,,White/European,,Yes,Yes,No,Yes,No,No,No,"Dr. Alex Billioux is the assistant secretary of health in Louisiana: https://www.astho.org/Directory/Member-Bios/Louisiana/ He is also a physician, that is why I added ""physician/clinician"" as a category. He used to conduct research on HIV/AIDS. So I decided to add ""public health research"" as a category."
121,alex brandon,477267419,Male,,He,,White/European,,No,No,No,No,No,No,Yes,Same as below
123,alex george,1667512276,Male,,He,,White/European,https://www.youtube.com/channel/UCkq9D1zjzszGX8Q-kI_hFCA,No,Yes,No,No,No,No,Yes,"Dr. Alex George is an emergency room doctor, and he also has a Youtube channel (that is why I decided to count him as a journalist)."
124,alex greninger,1392124034,Male,,He,,White/European,https://www.uwmedicine.org/bios/alexander-greninger#about-tab,Yes,Yes,No,No,No,No,No,Dr. Alex Greninger is a laboratory medicine doctor and epidemiologist at UW in Seattle.
125,alex horton,1227835446,Male,,He,,White/European,https://www.washingtonpost.com/people/alex-horton/,No,No,No,No,No,No,Yes,Alex Horton is a reporter with the Washington Post.
126,alex hsu,2836106301,Male,https://www.wptv.com/news/coronavirus/dr-alex-hsu-first-medical-professional-to-die-from-coronavirus-in-south-florida,He,https://www.wptv.com/news/coronavirus/dr-alex-hsu-first-medical-professional-to-die-from-coronavirus-in-south-florida,East Asian,https://www.wptv.com/news/coronavirus/dr-alex-hsu-first-medical-professional-to-die-from-coronavirus-in-south-florida,No,Yes,No,No,No,No,No,https://www.wptv.com/news/coronavirus/dr-alex-hsu-first-medical-professional-to-die-from-coronavirus-in-south-florida
127,alex jahangir,2366158024,Male,https://www.tennessean.com/story/news/local/coronavirus/2020/06/04/coronavirus-nashville-surgeon-alex-jahangir-covid-19/5259827002/,He,https://www.tennessean.com/story/news/local/coronavirus/2020/06/04/coronavirus-nashville-surgeon-alex-jahangir-covid-19/5259827002/,Middle Eastern,https://www.tennessean.com/story/news/local/coronavirus/2020/06/04/coronavirus-nashville-surgeon-alex-jahangir-covid-19/5259827002/,Yes,Yes,No,No,No,No,No,"https://search.vanderbilthealth.com/doctors/jahangir-alex,https://scholar.google.com/citations?user=xgj7p9AAAAAJ&hl=en&oi=ao"
128,alex marlow,1110666701,Male,https://en.wikipedia.org/wiki/Alex_Marlow,He,https://en.wikipedia.org/wiki/Alex_Marlow,White/European,https://en.wikipedia.org/wiki/Alex_Marlow,No,No,No,No,Yes,No,Yes,https://en.wikipedia.org/wiki/Alex_Marlow
129,alex r cook,1553028667,Male,https://sph.nus.edu.sg/faculty-directory/cook-alex-richard/,He,https://sph.nus.edu.sg/faculty-directory/cook-alex-richard/,White/European,https://sph.nus.edu.sg/faculty-directory/cook-alex-richard/,Yes,No,No,No,No,No,No,https://sph.nus.edu.sg/faculty-directory/cook-alex-richard/
130,alex scott,3304391891,Female,"https://en.wikipedia.org/wiki/Alex_Scott_(footballer,_born_1984)",She,"https://en.wikipedia.org/wiki/Alex_Scott_(footballer,_born_1984)",White/European,"https://en.wikipedia.org/wiki/Alex_Scott_(footballer,_born_1984)",No,No,No,No,No,Yes,Yes,"https://en.wikipedia.org/wiki/Alex_Scott_(footballer,_born_1984)"
131,alex tabarrock,3665906593,Male,https://en.wikipedia.org/wiki/Alex_Tabarrok,He,https://en.wikipedia.org/wiki/Alex_Tabarrok,Middle Eastern,https://en.wikipedia.org/wiki/Alex_Tabarrok,No,No,Yes,No,Yes,No,No,"https://mason.gmu.edu/~atabarro/,https://en.wikipedia.org/wiki/Alex_Tabarrokn"
132,alex tsai,3827310026,Male,https://connects.catalyst.harvard.edu/Profiles/display/Person/90553,No info,https://connects.catalyst.harvard.edu/Profiles/display/Person/90553,East Asian,https://connects.catalyst.harvard.edu/Profiles/display/Person/90553,Yes,Yes,No,No,No,No,No,https://connects.catalyst.harvard.edu/Profiles/display/Person/90553
133,alex ward,2979221966,Male,https://www.vox.com/authors/alex-ward,He,https://www.vox.com/authors/alex-ward,White/European,https://www.vox.com/authors/alex-ward,No,No,No,No,No,No,Yes,https://www.vox.com/authors/alex-ward
134,alex wigglesworth,858451265,Female,https://www.latimes.com/people/alex-wigglesworth,She,https://www.latimes.com/people/alex-wigglesworth,White/European,https://www.latimes.com/people/alex-wigglesworth,No,No,No,No,No,No,Yes,https://www.latimes.com/people/alex-wigglesworth
