orig_index,raw_name,num_words,top20_candidates_with_score,possible_candidate,sex_at_birth,comment/reference,pronoun_denoting_gender,comment/reference,race_ethnicity,comment/reference,public_health_researcher,practitioner/clinician/physician,non_public_health_researcher,politician/govt service/policymaker,industry_expert,celebrity,journalist,comment/reference
1294,denis chopera,2,"[('sunil chopra', 72), ('teena chopra', 72), ('deepak chopra', 69), ('denis nash', 64), ('anderson cooper', 64), ('david hooper', 64), ('denise thames', 62), ('ellis cheever', 62), ('christopher dye', 61), ('rae cooper', 61), ('don', 60), ('denis hamilton', 59), ('daniel rascher', 59), ('denis mcfadden', 59), ('isaac chotiner', 59), ('eric cioe pena', 59), ('esther chernak', 59), ('nick chater', 58), ('david hoyer', 58), ('dana fisher', 58)]",SELF,Male,https://theconversation.com/profiles/denis-chopera-1156503,He,https://theconversation.com/profiles/denis-chopera-1156503,Black/African,https://theconversation.com/profiles/denis-chopera-1156503,Yes,No,No,No,No,No,No,https://theconversation.com/profiles/denis-chopera-1156503
1295,denis hamilton,2,"[('denise jamieson', 76), ('don milton', 75), ('dennis mileti', 74), ('clive hamilton', 71), ('marci hamilton', 71), ('ebony hilton', 69), ('donald milton', 67), ('denise thames', 67), ('denis nash', 64), ('erin hatton', 64), ('drew hammill', 62), ('don', 60), ('han', 60), ('mike debonis', 59), ('ron desantis', 59), ('denis chopera', 59), ('renate mai dalton', 58), ('ebony hilton buchholz', 58), ('cheryl healton', 57), ('pan hwai tzong', 57)]",SELF,Male,https://www.business.rutgers.edu/faculty/denis-hamilton,He,https://www.business.rutgers.edu/faculty/denis-hamilton,White/European,https://www.business.rutgers.edu/faculty/denis-hamilton,No,No,Yes,No,No,No,No,https://www.business.rutgers.edu/faculty/denis-hamilton
1296,denis mcfadden,2,"[('denis nash', 64), ('jessica madden', 64), ('denise jamieson', 62), ('don', 60), ('denise thames', 59), ('dennis mileti', 59), ('mike debonis', 59), ('dennis deeley', 59), ('denis chopera', 59), ('mark denison', 59), ('dagen mcdowell', 57), ('denis hamilton', 57), ('daniel fein', 56), ('michael baden', 56), ('ben mcadams', 56), ('denis protsenko', 55), ('jennifer mammen', 55), ('michael eisner', 54), ('devrim yaman', 54), ('devon', 54)]",SELF,Male,https://en.wikipedia.org/wiki/Denis_McFadden,He,https://en.wikipedia.org/wiki/Denis_McFadden,White/European,https://en.wikipedia.org/wiki/Denis_McFadden,No,No,No,No,Yes,No,No,https://en.wikipedia.org/wiki/Denis_McFadden
1297,denis nash,2,"[('denis protsenko', 86), ('denise thames', 70), ('denis hamilton', 64), ('denise jamieson', 64), ('denis mcfadden', 64), ('denis chopera', 64), ('mark denison', 61), ('ron desantis', 61), ('don', 60), ('nisha basu', 60), ('joshua denson', 58), ('daniel rascher', 58), ('nick dennison', 58), ('thomas nash', 57), ('nahid bhadelia', 55), ('devi sridhar', 55), ('dean winslow', 55), ('dan crenshaw', 55), ('dena grayson', 55), ('darius tahir', 55)]",SELF,Male,https://sph.cuny.edu/people/denisnash/,He,https://sph.cuny.edu/people/denisnash/,White/European,https://sph.cuny.edu/people/denisnash/,Yes,No,No,No,No,No,No,https://sph.cuny.edu/people/denisnash/
1298,denis protsenko,2,"[('denis nash', 86), ('ron desantis', 64), ('don', 60), ('ron daniels', 59), ('elise pletnikoff', 58), ('dena chretien', 57), ('denise thames', 57), ('eric d ortenzio', 57), ('denis chopera', 57), ('daniel roshan', 57), ('mark denison', 56), ('denis hamilton', 55), ('denis mcfadden', 55), ('dana perino', 54), ('nick dennison', 54), ('davis', 54), ('devon', 54), ('charles prosper', 53), ('denise jamieson', 53), ('daniel rusyniak', 53)]",SELF,Male,https://loop.frontiersin.org/people/433578/overview,He,https://loop.frontiersin.org/people/433578/overview,White/European,https://loop.frontiersin.org/people/433578/overview,Yes,Yes,No,No,No,No,No,https://loop.frontiersin.org/people/433578/overview
1299,denise jamieson,2,"[('denise thames', 79), ('denis hamilton', 76), ('james town', 70), ('denis nash', 64), ('mike debonis', 64), ('jennie wilson', 64), ('dennis mileti', 64), ('danielle anderson', 62), ('denis mcfadden', 62), ('jennifer mcquiston', 61), ('james robb', 60), ('james diaz', 60), ('james chin', 60), ('jim', 60), ('don', 60), ('jennifer mammen', 60), ('james leo', 60), ('james gill', 60), ('jennifer ashton', 60), ('mike dewine', 59)]",SELF,Female,https://blogs.cdc.gov/safehealthcare/authors/dr-denise-j-jamieson/,She,https://blogs.cdc.gov/safehealthcare/authors/dr-denise-j-jamieson/,White/European,https://blogs.cdc.gov/safehealthcare/authors/dr-denise-j-jamieson/,Yes,Yes,No,Yes,No,No,No,https://blogs.cdc.gov/safehealthcare/authors/dr-denise-j-jamieson/
1300,denise thames,2,"[('denise jamieson', 79), ('denis nash', 70), ('denis hamilton', 67), ('bennie thompson', 64), ('denis chopera', 62), ('dennis mileti', 62), ('mike debonis', 61), ('ted gideonse', 61), ('thomas', 60), ('don', 60), ('thomas linden', 59), ('denis mcfadden', 59), ('celine thum', 58), ('james diaz', 58), ('dominique thompson', 58), ('david hamer', 58), ('thomas lee', 58), ('daniel fletcher', 57), ('nicholas thomas', 57), ('denis protsenko', 57)]",SELF,Female,https://dornsife.usc.edu/labs/snihp/april-thames-bio/,She,https://dornsife.usc.edu/labs/snihp/april-thames-bio/,White/European,https://dornsife.usc.edu/labs/snihp/april-thames-bio/,Yes,Yes,No,No,No,No,No,https://dornsife.usc.edu/labs/snihp/april-thames-bio/
1301,dennis deeley,2,"[('dennis mileti', 69), ('don', 60), ('tracy dennis tiwary', 60), ('von der leyen', 59), ('denis mcfadden', 59), ('dean sidelinger', 57), ('sean dempsey', 56), ('adams dudley', 56), ('david ridley', 56), ('daniel lucey', 56), ('dan doyle', 55), ('doris day', 55), ('denise thames', 54), ('david veesler', 54), ('daniel jolley', 54), ('deenan pillay', 54), ('jean francois delfraissy', 54), ('denis chopera', 54), ('devon', 54), ('dagen mcdowell', 52)]",SELF,Male,https://www.nationalguard.mil/Resources/Image-Gallery/News-Images/igphoto/2001066119/,He,https://www.nationalguard.mil/Resources/Image-Gallery/News-Images/igphoto/2001066119/,White/European,https://www.nationalguard.mil/Resources/Image-Gallery/News-Images/igphoto/2001066119/,No,No,No,Yes,No,No,No,https://www.nationalguard.mil/Resources/Image-Gallery/News-Images/igphoto/2001066119/
1302,dennis mileti,2,"[('denis hamilton', 74), ('dennis deeley', 69), ('mike', 68), ('mike debonis', 68), ('denise jamieson', 64), ('denise thames', 62), ('ken milani', 61), ('don milton', 61), ('tracy dennis tiwary', 60), ('miller', 60), ('don', 60), ('henry i miller', 59), ('denis mcfadden', 59), ('milton keynes', 59), ('daniel levitin', 59), ('nick dennison', 59), ('nisha mehta', 58), ('greg millett', 56), ('loren miller', 56), ('daniel klein', 56)]",SELF,Male,http://resilientneighbors.com/advisory-team/dennis-mileti/,He,http://resilientneighbors.com/advisory-team/dennis-mileti/,White/European,http://resilientneighbors.com/advisory-team/dennis-mileti/,No,No,Yes,No,No,No,No,http://resilientneighbors.com/advisory-team/dennis-mileti/
1303,depp,1,"[('sean dempsey', 68), ('deepak chopra', 68), ('anne deprince', 68), ('dan epps', 68), ('farouk dey', 51), ('drew', 50), ('joshua denson', 45), ('barbara dipietro', 45), ('dagen mcdowell', 45), ('bernard devalois', 45), ('alfredo garzino demo', 45), ('mike dewine', 45), ('devi sridhar', 45), ('deborah cao', 45), ('nick desai', 45), ('john dwyer', 45), ('jayme deerwester cdc', 45), ('jan emmanuel de neve', 45), ('michelle dupre', 45), ('dorian alexander', 45)]",na,,,,,,,,,,,,,,
1304,derek gatherer,2,"[('drew', 68), ('derek horstmeyer', 67), ('derek hill', 64), ('kerry gateley', 59), ('kecia gaither', 59), ('andrew goethe', 59), ('george rutherford', 58), ('robert glatter', 57), ('heather d rogers', 57), ('lauren gardner', 57), ('deirdre shesgreen birx', 56), ('rebekah gee', 56), ('gabriel rauterberg', 56), ('drew harris', 56), ('sandeep garg', 54), ('heard garris', 54), ('deborah peel', 54), ('teresa grimes', 52), ('eric garcetti', 52), ('geoffrey dreher', 52)]",SELF,Male,https://www.lancaster.ac.uk/health-and-medicine/about-us/people/derek-gatherer,He,https://www.lancaster.ac.uk/health-and-medicine/about-us/people/derek-gatherer,White/European,https://www.lancaster.ac.uk/health-and-medicine/about-us/people/derek-gatherer,Yes,No,No,No,No,No,No,https://www.lancaster.ac.uk/health-and-medicine/about-us/people/derek-gatherer
1305,derek hill,2,"[('marc lamont hill', 86), ('derek horstmeyer', 86), ('marianne gausche hill', 86), ('drew hammill', 73), ('drew', 68), ('derek gatherer', 64), ('laureen hill', 64), ('christopher d hillyer', 63), ('deenan pillay', 61), ('lenox hill', 60), ('david hill', 60), ('william deverell', 60), ('lance hill', 60), ('katie hill', 60), ('darren linvill', 58), ('curtis hill', 57), ('chapel hill', 57), ('dieter helm', 57), ('drew harris', 57), ('harvey schiller', 56)]",SELF,Male,https://iris.ucl.ac.uk/iris/browse/profile?upi=DHILL80,He,https://iris.ucl.ac.uk/iris/browse/profile?upi=DHILL80,White/European,https://iris.ucl.ac.uk/iris/browse/profile?upi=DHILL80,Yes,No,No,No,No,No,No,https://iris.ucl.ac.uk/iris/browse/profile?upi=DHILL80
1306,derek horstmeyer,2,"[('derek hill', 86), ('drew', 68), ('derek gatherer', 67), ('mark hurst', 63), ('ryde hornsby', 57), ('stanley deresinski', 56), ('deepak chopra', 55), ('andrew hastie', 55), ('tyler durden', 54), ('deirdre shesgreen birx', 53), ('jennifer horney', 52), ('danny meyer', 52), ('jack dorsey', 52), ('geoffrey dreher', 52), ('david hoyer', 52), ('terre haute', 52), ('peter horby', 52), ('steny h hoyer', 52), ('hendrik streeck', 52), ('summer decker', 52)]",SELF,Male,https://business.gmu.edu/facultyandresearch/faculty/finance/profile/48/105/,He,https://business.gmu.edu/facultyandresearch/faculty/finance/profile/48/105/,White/European,https://business.gmu.edu/facultyandresearch/faculty/finance/profile/48/105/,No,No,Yes,No,Yes,No,Yes,https://business.gmu.edu/facultyandresearch/faculty/finance/profile/48/105/
1307,devi nampiaparampil,2,"[('devi sridhar', 86), ('devrim yaman', 60), ('david kamin', 58), ('david asman', 58), ('hideomi nakahara', 57), ('david nazarian', 55), ('nadia', 54), ('denis nash', 54), ('david nace', 54), ('davis', 54), ('devon', 54), ('drew hammill', 52), ('nick desai', 51), ('david clara amit', 51), ('damian caraballo', 51), ('david kim', 50), ('david merin', 50), ('diana adama', 50), ('david price', 50), ('david nabarro', 50)]",SELF,Female,https://en.wikipedia.org/wiki/Devi_Nampiaparampil,She,https://en.wikipedia.org/wiki/Devi_Nampiaparampil,South Asian,https://en.wikipedia.org/wiki/Devi_Nampiaparampil,Yes,Yes,No,No,No,Yes,No,https://en.wikipedia.org/wiki/Devi_Nampiaparampil
1308,devi sridhar,2,"[('devi nampiaparampil', 86), ('said', 68), ('ravi dhar', 67), ('annika sridharan', 64), ('david ridpath', 64), ('david schwartz', 62), ('david ryder', 61), ('madhvi shah', 61), ('david smith', 61), ('david hamer', 61), ('david reich', 61), ('david ziehr', 61), ('david sanger', 58), ('david ridley', 58), ('david r karp', 58), ('david spiegelhalter', 58), ('rishi desai', 58), ('david archer', 58), ('siddhartha mukherjee', 57), ('david m smith', 56)]",SELF,Female,https://en.wikipedia.org/wiki/Devi_Sridhar,She,https://en.wikipedia.org/wiki/Devi_Sridhar,South Asian,https://en.wikipedia.org/wiki/Devi_Sridhar,Yes,No,No,No,No,No,No,https://en.wikipedia.org/wiki/Devi_Sridhar
1309,devon,1,"[('don', 75), ('mike debonis', 72), ('davidson', 62), ('kristin dean', 60), ('don lemon', 57), ('don jr', 55), ('downey', 55), ('norah o donnell', 54), ('joshua denson', 54), ('dagen mcdowell', 54), ('bernard devalois', 54), ('daron shaw', 54), ('alfredo garzino demo', 54), ('mike dewine', 54), ('devi sridhar', 54), ('don milton', 54), ('deborah cao', 54), ('jin dongyan', 54), ('daniel reaven', 54), ('jan emmanuel de neve', 54)]",na,,,,,,,,,,,,,,
1310,devrim yaman,2,"[('david asman', 70), ('david kamin', 61), ('devi nampiaparampil', 60), ('david l heymann', 59), ('seema yasmin', 58), ('david fisman', 58), ('david relman', 58), ('david magnus', 58), ('ryan demmer', 58), ('david tan', 57), ('dali yang', 57), ('david eisenman', 54), ('david abramson', 54), ('denis hamilton', 54), ('denis mcfadden', 54), ('david nazarian', 54), ('davis', 54), ('david n fisman', 54), ('david freedman', 54), ('devon', 54)]",SELF,Female,https://wmich.edu/finance/directory/yaman,She,https://wmich.edu/finance/directory/yaman,Other/Mixed,https://wmich.edu/finance/directory/yaman,No,No,Yes,No,Yes,No,No,https://wmich.edu/finance/directory/yaman
1311,diana adama,2,"[('adam', 90), ('anat admati', 73), ('adams', 72), ('adrian', 71), ('adam finn', 66), ('dania rajendra', 64), ('armand dorian', 64), ('diana brainard', 64), ('aaron adalja', 61), ('diana taylor', 61), ('amy', 60), ('dana gold', 60), ('ala', 60), ('dan varga', 60), ('damian caraballo', 59), ('minal dakhave bhosale', 58), ('adam levitin', 58), ('hajira dambha miller', 58), ('zubin damania', 58), ('daniel aobdia', 58)]",SELF,Female,https://www.usatoday.com/story/news/nation/2020/01/29/coronavirus-china-americans-quarantined-wuhan-bored-information/4597323002/,She,https://www.usatoday.com/story/news/nation/2020/01/29/coronavirus-china-americans-quarantined-wuhan-bored-information/4597323002/,White/European,https://www.usatoday.com/story/news/nation/2020/01/29/coronavirus-china-americans-quarantined-wuhan-bored-information/4597323002/,No,No,Yes,No,No,No,No,https://www.usatoday.com/story/news/nation/2020/01/29/coronavirus-china-americans-quarantined-wuhan-bored-information/4597323002/
1312,diana brainard,2,"[('julii brainard', 71), ('brian bird', 67), ('dania rajendra', 64), ('cao bin', 64), ('diaz balart', 64), ('diana adama', 64), ('dana perino', 64), ('armand dorian', 64), ('gianna bern', 64), ('dana garfin', 64), ('daniel berliner', 62), ('diana taylor', 62), ('bernard camins', 61), ('adrian bangerter', 60), ('dan varga', 60), ('bernard wood', 59), ('diane griffin', 59), ('liliana brown', 59), ('diane francis', 59), ('luciana borio', 59)]",SELF,Female,https://www.fiercepharma.com/special-report/most-influential-people-fight-against-covid-19-diana-brainard,She,https://www.fiercepharma.com/special-report/most-influential-people-fight-against-covid-19-diana-brainard,White/European,https://www.fiercepharma.com/special-report/most-influential-people-fight-against-covid-19-diana-brainard,Yes,Yes,No,No,Yes,No,No,https://www.fiercepharma.com/special-report/most-influential-people-fight-against-covid-19-diana-brainard
1313,diana taylor,2,"[('daniel taylor', 80), ('john taylor', 70), ('tina tan', 68), ('taylor swift', 64), ('timothy taylor', 64), ('tao lina', 64), ('chloe taylor', 64), ('rosemary taylor', 64), ('steve taylor', 64), ('steven taylor', 64), ('diana brainard', 62), ('diaz balart', 61), ('diana adama', 61), ('dana garfin', 61), ('ian tong', 60), ('ivanka trump', 58), ('dipanjan roy', 58), ('dan wakeford', 58), ('dena grayson', 58), ('dan doyle', 57)]",SELF,Female,https://en.wikipedia.org/wiki/Diana_Taylor_(superintendent),She,https://en.wikipedia.org/wiki/Diana_Taylor_(superintendent),White/European,https://en.wikipedia.org/wiki/Diana_Taylor_(superintendent),No,No,No,Yes,No,No,No,https://en.wikipedia.org/wiki/Diana_Taylor_(superintendent)
1314,diane francis,2,"[('francis crick institute', 86), ('francis ware', 76), ('francis riedo', 73), ('pope francis', 72), ('melissa francis', 71), ('manuel franco', 69), ('jean francois delfraissy', 69), ('fritz francois', 67), ('daniel freeman', 67), ('christina francis', 67), ('francis balloux', 66), ('daniela ferrari', 64), ('daniel crane', 64), ('daniel reaven', 62), ('francesca dominici', 62), ('daniel kreiss', 62), ('diane griffin', 62), ('daniel roshan', 62), ('emma frans', 61), ('francisco duque iii', 59)]",SELF,Female,http://www.dianefrancis.com/,She,http://www.dianefrancis.com/,White/European,http://www.dianefrancis.com/,No,No,No,No,Yes,No,Yes,http://www.dianefrancis.com/
1315,diane griffin,2,"[('daniel griffin', 89), ('dana garfin', 75), ('jessica griffin', 71), ('daniel fein', 67), ('stephen griffin', 66), ('yvonne griffiths', 62), ('diane francis', 62), ('kristin dean', 61), ('daniel levitin', 59), ('diana brainard', 59), ('dana radcliffe', 59), ('dana perino', 58), ('yu dan', 57), ('daniel berliner', 57), ('j nadine gracia', 57), ('daniel grossman', 57), ('the diamond princess', 56), ('dena goffman', 56), ('daniel klein', 56), ('daniel crane', 56)]",SELF,Female,https://en.wikipedia.org/wiki/Diane_Griffin,She,https://en.wikipedia.org/wiki/Diane_Griffin,White/European,https://en.wikipedia.org/wiki/Diane_Griffin,Yes,No,No,No,No,No,No,https://en.wikipedia.org/wiki/Diane_Griffin
1316,diaz balart,2,"[('luis diaz izquierdo', 86), ('janet diaz', 64), ('diana brainard', 64), ('nita bharti', 64), ('diana taylor', 61), ('dorian alexander', 59), ('adrian bangerter', 59), ('daniel alpert', 58), ('gloria balboa', 58), ('eddie debartolo jr', 58), ('eliza barclay', 58), ('bala hota', 57), ('adam blake', 57), ('dean baker', 57), ('alberto dicochea', 56), ('dan wallach', 55), ('julia braga', 55), ('linda bauld', 55), ('diana adama', 55), ('danny avula', 55)]",SELF,Male,https://en.wikipedia.org/wiki/Jos%C3%A9_D%C3%ADaz-Balart,He,https://en.wikipedia.org/wiki/Jos%C3%A9_D%C3%ADaz-Balart,White/European,https://en.wikipedia.org/wiki/Jos%C3%A9_D%C3%ADaz-Balart,No,No,No,No,No,No,Yes,https://en.wikipedia.org/wiki/Jos%C3%A9_D%C3%ADaz-Balart
1317,dick cheney,2,"[('liz cheney', 76), ('cohen', 72), ('xi chen', 67), ('nick chater', 64), ('kk cheng', 63), ('david scheinker', 62), ('catherine fisk', 61), ('chen xi', 61), ('catherine li', 58), ('nic cheeseman', 58), ('david kennedy', 58), ('chen katz', 57), ('chris chen', 57), ('robert chesney', 56), ('chelsea', 56), ('isaac chotiner', 56), ('chen chien jen', 56), ('mike dewine', 55), ('jih fei cheng', 55), ('wilbur chen', 55)]",SELF,Male,https://en.wikipedia.org/wiki/Dick_Cheney,He,https://en.wikipedia.org/wiki/Dick_Cheney,White/European,https://en.wikipedia.org/wiki/Dick_Cheney,No,No,No,Yes,No,No,No,https://en.wikipedia.org/wiki/Dick_Cheney
1318,diddiet houssin,2,"[('didier houssin', 90), ('david hui', 58), ('didier raoult', 57), ('david shulkin', 57), ('david ho', 56), ('dominique thompson', 55), ('david oshinsky', 55), ('david closs', 54), ('david chao', 54), ('daniel grossman', 53), ('dave chokshi', 52), ('dominique heinke', 52), ('david thomas', 52), ('david gorski', 52), ('david rosser', 52), ('hamel husain', 52), ('david benton', 52), ('hopkins', 51), ('hun sen', 51), ('daniel leussink tokyo', 50)]",didier houssin,,,,,,,,,,,,,,
1319,didier houssin,2,"[('diddiet houssin', 90), ('didier raoult', 67), ('david hui', 61), ('david persing', 59), ('david shulkin', 59), ('daniel leussink tokyo', 58), ('muhiuddin haider', 57), ('david oshinsky', 57), ('david ho', 56), ('david merin', 56), ('dominique thompson', 56), ('david closs', 56), ('david kimberlin', 55), ('daniel grossman', 55), ('dave chokshi', 54), ('david thomas', 54), ('david gorski', 54), ('david rosser', 54), ('hamel husain', 54), ('dominique heinke', 53)]",SELF,Male,https://www.efsa.europa.eu/en/mbmembers/member/didier-houssin,He,https://www.efsa.europa.eu/en/mbmembers/member/didier-houssin,White/European,https://www.efsa.europa.eu/en/mbmembers/member/didier-houssin,Yes,No,No,Yes,No,No,No,https://www.efsa.europa.eu/en/mbmembers/member/didier-houssin
1320,didier raoult,2,"[('didier houssin', 67), ('david rapoport', 59), ('david kroll', 58), ('diddiet houssin', 57), ('david pierre', 56), ('ron paul', 56), ('david r boulware', 55), ('daniel alpert', 54), ('david ridpath', 54), ('rio giardinieri', 54), ('ron hira', 53), ('daniel scarparolo', 53), ('richard briffault', 53), ('andrew rambaut', 52), ('david agus', 52), ('eddie debartolo jr', 52), ('david katz', 52), ('david abramson', 52), ('david chao', 52), ('debra patt', 52)]",SELF,Male,https://en.wikipedia.org/wiki/Didier_Raoult,He,https://en.wikipedia.org/wiki/Didier_Raoult,White/European,https://en.wikipedia.org/wiki/Didier_Raoult,Yes,Yes,No,No,No,No,No,https://en.wikipedia.org/wiki/Didier_Raoult
1321,dieter helm,2,"[('vicki stover hertzberg', 58), ('derek hill', 57), ('peter donnelly', 56), ('terre haute', 55), ('peter horby', 55), ('lanier holt', 55), ('kim hjelmgaard deaths', 55), ('dmitry belyakov', 54), ('peter jay hotez', 54), ('volkmar denner', 53), ('michele dauber', 53), ('r daniel kelemen', 52), ('david relman', 52), ('aline holmes', 52), ('deborah peel', 52), ('jeffery hess', 52), ('pete hegseth', 52), ('heather haynes smith', 52), ('harvey fineberg', 51), ('eric feigl ding', 51)]",SELF,Male,https://en.wikipedia.org/wiki/Dieter_Helm,He,https://en.wikipedia.org/wiki/Dieter_Helm,White/European,https://en.wikipedia.org/wiki/Dieter_Helm,No,No,Yes,Yes,No,No,No,https://en.wikipedia.org/wiki/Dieter_Helm
1322,dilip jeste,2,"[('david desteno', 58), ('bradley jensen murg', 58), ('david reese', 55), ('daniel fletcher', 54), ('james diaz', 54), ('james gill', 54), ('janet diaz', 54), ('jones', 54), ('tim jost', 53), ('de jesus', 53), ('hilary jones', 52), ('kylie jenner', 52), ('philip tierno jr', 52), ('steve davis', 52), ('neil de wet', 52), ('david jewitt', 52), ('juliet eilperin', 51), ('cui jie', 51), ('daniel leussink tokyo', 50), ('daniel alpert', 50)]",SELF,Male,https://profiles.ucsd.edu/dilip.jeste,He,https://profiles.ucsd.edu/dilip.jeste,White/European,https://profiles.ucsd.edu/dilip.jeste,Yes,Yes,No,No,No,No,No,https://profiles.ucsd.edu/dilip.jeste
1323,dimitris xygalatas,2,"[('didier raoult', 52), ('tim duy', 51), ('diaz balart', 50), ('doris day', 50), ('dario gil', 50), ('dominic travis', 50), ('speranta dumitru', 50), ('dmitry belyakov', 48), ('adam douglas', 47), ('devrim yaman', 47), ('darius tahir', 47), ('dominic raab', 47), ('lori d', 45), ('josh douglas', 45), ('denise thames', 45), ('xiao', 45), ('doom', 45), ('abhijit duggal', 44), ('david michaels', 44), ('denis hamilton', 44)]",SELF,Male,https://anthropology.uconn.edu/person/dimitris-xygalatas/,He,https://anthropology.uconn.edu/person/dimitris-xygalatas/,White/European,https://anthropology.uconn.edu/person/dimitris-xygalatas/,Yes,No,No,No,No,No,No,https://anthropology.uconn.edu/person/dimitris-xygalatas/
1324,dipanjan roy,2,"[('saheli roy choudhury', 86), ('sion roy', 86), ('dana perino', 61), ('jane rooney', 61), ('diana taylor', 58), ('dan doyle', 57), ('yu dan', 57), ('dana gold', 57), ('dan suan', 56), ('roy anderson', 55), ('dan ariely', 55), ('alan rowan', 55), ('robert inman', 55), ('diana brainard', 54), ('danny meyer', 52), ('diana adama', 52), ('dana fisher', 52), ('anne rimoin', 52), ('janet diaz', 52), ('nishant rao', 52)]",SELF,Male,https://scholar.google.com/citations?user=9Z9gTzEAAAAJ&hl=en,He,https://scholar.google.com/citations?user=9Z9gTzEAAAAJ&hl=en,South Asian,https://scholar.google.com/citations?user=9Z9gTzEAAAAJ&hl=en,Yes,No,No,No,No,No,No,https://scholar.google.com/citations?user=9Z9gTzEAAAAJ&hl=en
1325,dirk brockmann,2,"[('ira byock', 70), ('bowman', 60), ('elliot berkman', 57), ('rick burton', 56), ('david canon', 56), ('richard branson', 55), ('daniel grossman', 55), ('rick brennan', 54), ('gary bergman', 54), ('david relman', 54), ('brown', 54), ('brianna keilar', 54), ('brian davis', 53), ('dmitry korkin', 52), ('ari brown', 52), ('daniel brooks', 52), ('daniel roshan', 52), ('bromley', 51), ('jim blacka', 50), ('greg brown', 50)]",SELF,Male,https://en.wikipedia.org/wiki/Dirk_Brockmann,He,https://en.wikipedia.org/wiki/Dirk_Brockmann,White/European,https://en.wikipedia.org/wiki/Dirk_Brockmann,Yes,No,No,No,No,No,No,https://en.wikipedia.org/wiki/Dirk_Brockmann
1326,dirk pfeiffer,2,"[('jeffrey pfeffer', 64), ('david pierre', 56), ('david speers', 56), ('malik peiris', 56), ('peter marks', 55), ('jeffrey ditkoff', 54), ('david gifford', 54), ('peter fisher', 53), ('peter miller', 53), ('richard e peltier', 53), ('peter daszak', 53), ('mike pence', 52), ('derek gatherer', 52), ('jennifer dowd', 51), ('mike dewine', 50), ('daniel fletcher', 50), ('david price', 50), ('daniel berliner', 50), ('dana fisher', 50), ('dale fisher', 50)]",SELF,Male,https://www.cityu.edu.hk/ph/staff/professor-dirk-u-pfeiffer,He,https://www.cityu.edu.hk/ph/staff/professor-dirk-u-pfeiffer,White/European,https://www.cityu.edu.hk/ph/staff/professor-dirk-u-pfeiffer,Yes,Yes,No,No,No,No,No,https://www.cityu.edu.hk/ph/staff/professor-dirk-u-pfeiffer
1327,dmitry belyakov,2,"[('dmitry korkin', 64), ('bela matyas', 59), ('adam blake', 56), ('dieter helm', 54), ('eric blank', 54), ('bouey', 54), ('timothy beal', 52), ('tony blakely', 52), ('brad bell', 50), ('mayor de blasio', 50), ('ira byock', 50), ('de blasio', 50), ('heather blake', 50), ('roy blunt', 50), ('jim blacka', 48), ('jair bolsonaro', 48), ('matt blaze', 48), ('troyen brennan', 48), ('dominic travis', 48), ('dimitris xygalatas', 48)]",SELF,Male,https://www.rferl.org/a/all-the-hospitals-are-full-russia-s-health-care-system-scrambles-as-covid-19-cases-rise/30563990.html,He,https://www.rferl.org/a/all-the-hospitals-are-full-russia-s-health-care-system-scrambles-as-covid-19-cases-rise/30563990.html,White/European,https://www.rferl.org/a/all-the-hospitals-are-full-russia-s-health-care-system-scrambles-as-covid-19-cases-rise/30563990.html,No,No,No,No,No,No,No,https://www.rferl.org/a/all-the-hospitals-are-full-russia-s-health-care-system-scrambles-as-covid-19-cases-rise/30563990.html
1328,dmitry korkin,2,"[('king', 77), ('dmitry belyakov', 64), ('mark dworkin', 64), ('kim', 60), ('lori d', 57), ('anita kurian', 56), ('david gorski', 56), ('roy kwong', 55), ('amir khan', 55), ('kinsa', 54), ('marynia kolak', 54), ('karin fisher', 53), ('don milton', 52), ('doris day', 52), ('adam kucharski', 52), ('orin kerr', 52), ('dirk brockmann', 52), ('didier houssin', 52), ('audiey kao', 52), ('speranta dumitru', 52)]",SELF,Male,https://lexfridman.com/dmitry-korkin/,He,https://lexfridman.com/dmitry-korkin/,White/European,https://lexfridman.com/dmitry-korkin/,Yes,No,No,No,No,No,No,https://lexfridman.com/dmitry-korkin/
1329,do jun lee,3,"[('lee', 90), ('christopher lee', 86), ('lee branstetter', 86), ('reutersjason lee beijing', 86), ('jena lee', 67), ('i min lee', 63), ('don lemon', 63), ('lee duckhwan', 61), ('don jr', 60), ('don', 60), ('justin lessler', 58), ('donna green', 57), ('lee norman', 57), ('peter jung', 57), ('randy junge', 57), ('ann leen', 56), ('daron cowley', 55), ('charles j ogletree jr', 54), ('dorian alexander', 54), ('lee hyukmin', 54)]",SELF,Male,https://www.linkedin.com/in/do-lee-ph-d-64bb3824/,He,https://www.linkedin.com/in/do-lee-ph-d-64bb3824/,East Asian,https://www.linkedin.com/in/do-lee-ph-d-64bb3824/,No,No,Yes,No,No,No,No,https://www.linkedin.com/in/do-lee-ph-d-64bb3824/
